
Image Name                     PID Session Name        Session#    Mem Usage
OmApSvcBroker.exe             5336 Console                    1      8,116 K
explorer.exe                  1912 Console                    1    337,256 K
ShellHost.exe                 5164 Console                    1     23,740 K
svchost.exe                   9568 Services                   0     10,708 K
CrossDeviceResume.exe         9704 Console                    1     25,284 K
MSI.CentralServer.exe         9760 Services                   0     36,816 K
conhost.exe                   9788 Services                   0      2,660 K
svchost.exe                  10136 Services                   0      9,968 K
CrossDeviceService.exe       10204 Console                    1     54,300 K
RuntimeBroker.exe             4232 Console                    1      6,640 K
svchost.exe                  10856 Console                    1     35,592 K
ApplicationFrameHost.exe     11184 Console                    1     43,756 K
SearchHost.exe               11196 Console                    1     56,288 K
StartMenuExperienceHost.e    11208 Console                    1     87,864 K
Microsoft.Notes.exe          11244 Console                    1    133,500 K
Widgets.exe                  10388 Console                    1     52,868 K
svchost.exe                  10312 Console                    1     11,948 K
RuntimeBroker.exe            10520 Console                    1     16,156 K
msedgewebview2.exe           11700 Console                    1     64,200 K
msedgewebview2.exe           11740 Console                    1      4,024 K
msedgewebview2.exe           11556 Console                    1     25,192 K
msedgewebview2.exe           10304 Console                    1     27,080 K
msedgewebview2.exe           11096 Console                    1      8,756 K
msedgewebview2.exe           12076 Console                    1     35,072 K
svchost.exe                  12532 Console                    1      9,000 K
PhoneExperienceHost.exe      12580 Console                    1    128,200 K
ctfmon.exe                   12704 Console                    1     26,784 K
SecurityHealthSystray.exe     8588 Console                    1      7,620 K
SecurityHealthService.exe     8608 Services                   0     22,428 K
RtkAudUService64.exe          9748 Console                    1     11,240 K
svchost.exe                  11876 Services                   0     12,248 K
TextInputHost.exe            13508 Console                    1     89,848 K
WhatsApp.Root.exe             9628 Console                    1    147,128 K
RuntimeBroker.exe            10036 Console                    1      8,352 K
msedgewebview2.exe            6468 Console                    1     90,172 K
msedgewebview2.exe           13800 Console                    1      5,852 K
msedgewebview2.exe           11056 Console                    1     11,376 K
msedgewebview2.exe            9332 Console                    1     29,748 K
msedgewebview2.exe           13968 Console                    1      8,580 K
Start_HDR.exe                14668 Console                    1      5,000 K
SystemSettings.exe           14264 Console                    1     16,292 K
svchost.exe                  14944 Services                   0      5,384 K
svchost.exe                   4264 Console                    1      8,244 K
UserOOBEBroker.exe           12732 Console                    1      7,236 K
svchost.exe                  13944 Services                   0      8,788 K
svchost.exe                   8708 Services                   0     11,568 K
WindowsTerminal.exe          15352 Console                    1     54,952 K
OpenConsole.exe              13204 Console                    1      6,272 K
powershell.exe                6500 Console                    1     30,568 K
Antigravity.exe              15280 Console                    1    157,544 K
Antigravity.exe               4448 Console                    1     15,916 K
Antigravity.exe               5292 Console                    1    197,864 K
Antigravity.exe              15152 Console                    1     34,440 K
Antigravity.exe              11164 Console                    1    908,116 K
Antigravity.exe              13020 Console                    1     64,044 K
Antigravity.exe              13180 Console                    1    142,292 K
Antigravity.exe               7656 Console                    1     68,892 K
Antigravity.exe               7688 Console                    1     51,924 K
Antigravity.exe               5580 Console                    1     56,512 K
conhost.exe                   7720 Console                    1      5,172 K
cmd.exe                       7684 Console                    1      3,000 K
git.exe                      14536 Console                    1      7,220 K
language_server_windows_x    14256 Console                    1    637,596 K
conhost.exe                   8240 Console                    1      5,220 K
vmcompute.exe                 4300 Services                   0     13,336 K
svchost.exe                   9992 Services                   0      5,080 K
Antigravity.exe              15600 Console                    1     33,348 K
Antigravity.exe              15608 Console                    1     56,984 K
Antigravity.exe              15756 Console                    1     58,212 K
MidiSrv.exe                  16324 Services                   0     30,704 K
svchost.exe                  15848 Console                    1     36,376 K
msedgewebview2.exe           17324 Console                    1    168,704 K
OneDrive.Sync.Service.exe    17120 Console                    1      6,980 K
ShellExperienceHost.exe      15512 Console                    1     75,500 K
RuntimeBroker.exe            12828 Console                    1     21,836 K
backgroundTaskHost.exe       10276 Console                    1      5,780 K
RuntimeBroker.exe            11552 Console                    1     21,048 K
cmd.exe                      16240 Console                    1      5,004 K
cmd.exe                       8712 Console                    1      5,284 K
cmd.exe                      16844 Console                    1      5,328 K
cmd.exe                       6152 Console                    1      4,996 K
cmd.exe                      14896 Console                    1      4,988 K
cmd.exe                       4976 Console                    1      5,008 K
cmd.exe                       2484 Console                    1      4,996 K
cmd.exe                      15436 Console                    1      5,004 K
cmd.exe                       7860 Console                    1      5,000 K
cmd.exe                       4556 Console                    1      5,024 K
cmd.exe                      17208 Console                    1      4,992 K
cmd.exe                       5480 Console                    1      4,932 K
cmd.exe                       5748 Console                    1      4,820 K
AppActions.exe               15380 Console                    1     47,336 K
taskhostw.exe                 3068 Console                    1     26,844 K
svchost.exe                  16720 Services                   0     39,000 K
SDXHelper.exe                 8508 Console                    1     32,752 K
WidgetService.exe             8556 Console                    1     26,316 K
cmd.exe                       5572 Console                    1      5,296 K
cmd.exe                      16684 Console                    1      5,296 K
cmd.exe                       6160 Console                    1      5,308 K
cmd.exe                      12584 Console                    1      5,304 K
cmd.exe                       7788 Console                    1      5,296 K
cmd.exe                      14700 Console                    1      5,300 K
cmd.exe                      14396 Console                    1      5,300 K
cmd.exe                       3916 Console                    1      5,296 K
cmd.exe                      12496 Console                    1      5,340 K
cmd.exe                      11168 Console                    1      5,336 K
cmd.exe                      14272 Console                    1      5,348 K
cmd.exe                       4516 Console                    1      4,776 K
tasklist.exe                  2588 Console                    1     11,716 K
